,Unnamed: 0,title,question_text,question_id,no_answers,context,id,question_type
5,5,Ghosts of Mars,What is the problem with the miners,9e4a92a0-900d-0c2c-2722-11aa1be12027,True,"

200 years in the future, Mars has been colonized by a high-tech company.
Melanie Ballard (Natasha Henstridge) arrives by train to a Mars mining camp which has cut all communication links with the company headquarters. She's not alone, as she is with a group of fellow police officers. They find the mining camp deserted except for a person in the prison, Desolation Williams (Ice Cube), who seems to laugh about them because they are all going to die. They were supposed to take Desolation to headquarters, but decide to explore first to find out what happened.They find a man inside an encapsulated mining car, who tells them not to open it. However, they do and he tries to kill them. One of the cops witnesses strange men with deep scarred and heavily tattooed faces killing the remaining survivors. The cops realise they need to leave the place fast.Desolation explains that the miners opened a kind of Martian construction in the soil which unleashed red dust. Those who breathed that dust became violent psychopaths who started to build weapons and kill the uninfected. They changed genetically, becoming distorted but much stronger.The cops and Desolation leave the prison with difficulty, and devise a plan to kill all the genetically modified ex-miners on the way out. However, the plan goes awry, and only Melanie and Desolation reach headquarters alive. Melanie realises that her bosses won't ever believe her. However, the red dust eventually arrives to headquarters, and Melanie and Desolation need to fight once again.

",/m/03vyhn,what
307,307,Chaos Theory,"Once Frank learns he has Klinefelter's syndrome, what else does he find out?",f4c236db-c259-c327-faab-383fd30d7769,True,"

Frank Allen (Ryan Reynolds) is a professional speaker who lectures on time management and he lives by example by perfectly maximizing his efficiency through scheduling and planning his own life down to the minute. One day when his wife Susan (Emily Mortimer) decides to set the alarm clock back 10 minutes, in hopes of giving her husband an extra ten minutes of time in the morning; she accomplishes the exact opposite. From missing the ferry to arriving late to his lecture on time management, Frank experiences an off day. While driving home, he sees a pregnant woman in need of help of getting to the hospital and he decides to offer the stranger a lift. At the hospital, Frank is asked to fill out some paper work, and not thinking much about his situation, he puts his own information down and the nurses at the hospital misunderstand and assume he is the father.The following morning, before Frank arrives home, a nurse from the hospital calls attempting to reach him and his wife answers the phone. The nurse, in trying to contact who she thought was the father, leads Susan to believe it is Frank's baby and she presupposes he is cheating on her and leading a double life. When Frank arrives home, he is unable to clear up the misunderstanding and Susan throws him out of the house. Susan then refuses to speak to him, and only allows him to see his daughter after school. In an attempt to prove his honesty to his wife by demonstrating that it is not his baby, Frank sees a doctor and receives the news that he was never able to reproduce to begin with, since he has Klinefelter's syndrome.A few days later, the stranger brings her baby to the Allens' house in hopes of thanking him for his kindness, only to find his wife at home. After the stranger introduces herself and her baby to Susan, she clears up the misunderstanding, but the damage is done since Frank now knows that their child is not really his. The tides change dramatically as Frank realizes that he was the one in the relationship who was faithful, and goes through a withdrawal as he tries to comprehend how his daughter could not be his and how wrong his life turned out when he believed that he has always stayed straight and narrow.After giving a life-changing speech about living on whim at his own time management lecture, he decides to live his life based on chance from that moment on. He starts his reformed outlook on life with the simple idea of possibility and randomness by making his decision based shuffling three index cards with written options and choosing one at chance. Through his journey, he learns more about love, friendship, faith, hope and life than he ever imagined.

",/m/0bbq_v,what
408,408,Time Chasers,How do Nick and Lisa spend the remainder of the film ?,12ea8278-5237-7b2b-d31d-ee8a05e538aa,True,"Physics teacher and amateur pilot Nick Miller (Matthew Bruch) has finally completed his quest of enabling time travel, via a Commodore 64 and his small airplane. After being inspired by a television commercial for GenCorp, he uses a ruse to bring out both a GenCorp executive and a reporter from a local paper. To Nick's surprise, the reporter is Lisa Hansen (Bonnie Pritchard), an old high school flame. One trip to 2041 later and Gencorp's executive, Matthew Paul (Peter Harrington), quickly arranges Nick a meeting with CEO J.K. Robertson (George Woodard). Impressed by the potential of time travel, Robertson offers Nick a licensing agreement on the technology.
The following week, Nick and Lisa meet at the supermarket and go on a date to the 1950s. However, another trip to 2041 reveals that GenCorp abused Nick's time travel technology, creating a dystopian future. In an attempt to tell J.K. about how GenCorp inadvertently ruined the future. J.K. dismisses the eventuality, and states that there's enough time to worry about how to fix it before it happens. J.K. sees Nick as a threat to GenCorp, and due to the association with the U.S. Government, considers Nick's actions as treason. Nick and Lisa escape GenCorp and spend the remainder of the film trying to reverse the damage to the future. When J.K. catches wind of this, he and Matt try to shoot down Nick's plane, killing Lisa in the process while Nick jumps out before the plane crashes. This ultimately culminates in a fight in 1777 during the American Revolution, the deaths of the present Nick, Lisa, Matt, and Robertson, and the destruction of the time machine before the original demo, thus ensuring that the majority of the film's events never happen in the first place. The film ends with a past Nick (now aware of the danger of his time machine) sabotaging his demonstration, and doing a pitch of how an elderly skydiver would be a better ad campaign for J.K.'s company. Furious about being misled, J.K. fires Matt. Nick deletes the eight 5Â¼"" floppy disks that make time travel possible. At the end of the film, Nick talks to Lisa in the supermarket as he did in the previous timeline.
",/m/03tdny,how
411,411,Time Chasers,What does another trip to 2041 reveal ?,4eec54ba-33b5-df58-900b-d4c439bce131,True,"Physics teacher and amateur pilot Nick Miller (Matthew Bruch) has finally completed his quest of enabling time travel, via a Commodore 64 and his small airplane. After being inspired by a television commercial for GenCorp, he uses a ruse to bring out both a GenCorp executive and a reporter from a local paper. To Nick's surprise, the reporter is Lisa Hansen (Bonnie Pritchard), an old high school flame. One trip to 2041 later and Gencorp's executive, Matthew Paul (Peter Harrington), quickly arranges Nick a meeting with CEO J.K. Robertson (George Woodard). Impressed by the potential of time travel, Robertson offers Nick a licensing agreement on the technology.
The following week, Nick and Lisa meet at the supermarket and go on a date to the 1950s. However, another trip to 2041 reveals that GenCorp abused Nick's time travel technology, creating a dystopian future. In an attempt to tell J.K. about how GenCorp inadvertently ruined the future. J.K. dismisses the eventuality, and states that there's enough time to worry about how to fix it before it happens. J.K. sees Nick as a threat to GenCorp, and due to the association with the U.S. Government, considers Nick's actions as treason. Nick and Lisa escape GenCorp and spend the remainder of the film trying to reverse the damage to the future. When J.K. catches wind of this, he and Matt try to shoot down Nick's plane, killing Lisa in the process while Nick jumps out before the plane crashes. This ultimately culminates in a fight in 1777 during the American Revolution, the deaths of the present Nick, Lisa, Matt, and Robertson, and the destruction of the time machine before the original demo, thus ensuring that the majority of the film's events never happen in the first place. The film ends with a past Nick (now aware of the danger of his time machine) sabotaging his demonstration, and doing a pitch of how an elderly skydiver would be a better ad campaign for J.K.'s company. Furious about being misled, J.K. fires Matt. Nick deletes the eight 5Â¼"" floppy disks that make time travel possible. At the end of the film, Nick talks to Lisa in the supermarket as he did in the previous timeline.
",/m/03tdny,what
413,413,Time Chasers,How does the film end ?,abb92ee0-6050-288d-4307-62d7c5f3208f,True,"Physics teacher and amateur pilot Nick Miller (Matthew Bruch) has finally completed his quest of enabling time travel, via a Commodore 64 and his small airplane. After being inspired by a television commercial for GenCorp, he uses a ruse to bring out both a GenCorp executive and a reporter from a local paper. To Nick's surprise, the reporter is Lisa Hansen (Bonnie Pritchard), an old high school flame. One trip to 2041 later and Gencorp's executive, Matthew Paul (Peter Harrington), quickly arranges Nick a meeting with CEO J.K. Robertson (George Woodard). Impressed by the potential of time travel, Robertson offers Nick a licensing agreement on the technology.
The following week, Nick and Lisa meet at the supermarket and go on a date to the 1950s. However, another trip to 2041 reveals that GenCorp abused Nick's time travel technology, creating a dystopian future. In an attempt to tell J.K. about how GenCorp inadvertently ruined the future. J.K. dismisses the eventuality, and states that there's enough time to worry about how to fix it before it happens. J.K. sees Nick as a threat to GenCorp, and due to the association with the U.S. Government, considers Nick's actions as treason. Nick and Lisa escape GenCorp and spend the remainder of the film trying to reverse the damage to the future. When J.K. catches wind of this, he and Matt try to shoot down Nick's plane, killing Lisa in the process while Nick jumps out before the plane crashes. This ultimately culminates in a fight in 1777 during the American Revolution, the deaths of the present Nick, Lisa, Matt, and Robertson, and the destruction of the time machine before the original demo, thus ensuring that the majority of the film's events never happen in the first place. The film ends with a past Nick (now aware of the danger of his time machine) sabotaging his demonstration, and doing a pitch of how an elderly skydiver would be a better ad campaign for J.K.'s company. Furious about being misled, J.K. fires Matt. Nick deletes the eight 5Â¼"" floppy disks that make time travel possible. At the end of the film, Nick talks to Lisa in the supermarket as he did in the previous timeline.
",/m/03tdny,how
449,449,The Darkest Hour,How did the alien get destroyed?,c77a39ed-5d6f-5d33-959a-03dcf181c139,True,"Americans Ben and Sean (Max Minghella and Emile Hirsch) travel to Moscow to sell their social networking/party locating software. As they approach the airport the plane short circuits due to an electrical storm but regains power. They find their Swedish business partner, Skyler (Joel Kinnaman), has betrayed them and already made a deal with the Russians, using a knockoff application. They go to a nightclub and meet Natalie (Olivia Thirlby), an American, and her Australian friend Anne (Rachel Taylor). The lights go out in the club and everyone heads outside. There, they witness what appears to be an aurora. Balls of light fall from the sky and then fade away. When a policeman investigates he is disintegrated. The invisible entities begin hunting and disintegrating people, sending them into a panic.
Ben, Sean, Natalie, Anne, and now Skyler hide in the club's storeroom for seven days. With most of their food gone, the group plans to go to the American Embassy. They find the city full of scorched cars and cinders, but empty of people, except for a wary old woman who warns them of ""the ghosts"". Ben and Sean search for supplies in a police car near Red Square while the others hide in the nearby GUM department store shopping mall. While they are searching the car, a barking dog discovers and fatally confronts an alien, but the dog is disintegrated. Ben and Sean successfully hide under the car as the alien moves closer, causing the car's lights and siren to turn on. The alien moves on and the men run to the mall. Sean realizes that light bulbs give the aliens away. The group takes shelter in one of the mall stores. Sean and Natalie go to look for clothes and almost run into an alien who can't see them through a glass wall. Sean theorises that the aliens can only see their electrical charge, but not through glass.
The group finds the American Embassy gutted and lifeless. All except Skyler go to the roof to get an aerial view. They find a logbook telling them that the invasion is worldwide. They also find a radio broadcasting a message in Russian. They hear gunfire. Ben and Sean go to help Skylar, but he is killed. When the others go outside they see a light in a nearby apartment tower and go to investigate, bringing the radio they found. They find a young woman named Vika and a man named Sergei, an electrical engineer. Sergei has made his apartment into a giant Faraday cage that hides everyone from the aliens. He has also developed a microwave gun that weakens an alien's force field, so that it can actually be seen and killed. Vika and Sergei translate the message, which says that a nuclear submarine K-152 Nerpa is waiting in the Moscow River to take survivors to safety.
As Sergei shows the men the microwave device, Vika, Natalie, and Anne go to other apartments to gather supplies for the submarine journey. An alien senses them outside the Faraday cage and gives chase; Anne hesitates following Vika and goes another way, causing Natalie to follow her back inside. When they get to the apartment, Natalie is unable to close the door and the alien gets inside. Sergei shoots the alien with his gun and finds that it is only stunned. The alien disintegrates Sergei while the others get out by the fire escape. Anne hesitates again and is disintegrated while trying to escape. Natalie sets the apartment on fire as they climb down and meet up with Vika.
They meet up with a Russian police team with improvised armor led by Boris who manage to wound an alien with conventional weapons. Sean collects a piece of the alien's body. The small police band were also able to build another Faraday cage at the Russian State Library. Boris and his men eventually agree to help the remaining four to get to the submarine. The policemen believe that the aliens are strip mining for conductive metals since giant light columns can be seen drilling all over Moscow.
As they move through the subway, an alien discovers them and they escape on the tracks. Vika hides behind a pillar, unable to join the others without being seen. Ben helps her climb down to the tracks, but gets disintegrated.
The survivors make it to a powerless patrol boat on the river and drift downstream to the waiting submarine. The boat nears the submarine but runs aground. As they attempt to push free, a new light beam destroys a large apartment building right next to the river, causing the boat to capsize. Sean and the policemen swims towards the submarine but upon reaching it discover Natalie is missing. They see a flare fired from Natalie's flare gun in a railway and bus yard near the river. Sean is determined to get her, possibly missing his chance to escape. The policemen agree to help him rescue her. The Russian submarine crew, after expressing doubt about the rescue, assist by building another microwave gun with stronger batteries.
After the team manages to destroy an alien, Sean finds Natalie on a bus while the policemen and Vika destroy three more aliens using the microwave guns and water. As Sean is about to get off the bus with Natalie, an alien climbs on board, locks the door, and sends the bus speeding around the bus yard. It grabs onto Natalie's leg, but Sean blasts the alien's shield with the microwave gun. He then discovers the alien's weakness when he throws a piece of the wounded alien he had collected earlier, and it destroys the unshielded alien. The two stop the bus and narrowly avoid a collision.
After returning to the submarine, the police team decides to stay and fight for the city, and Boris tells them that now the war has begun. Sean, Natalie, and Vika plan to spread what they learned about the aliens - the microwave guns and their vulnerability to pieces of other dead aliens - to the rest of the world. Sean and Natalie, the only survivors of the original group along with Vika, nearly share a kiss on the submarine. In a pre-credit scene, as the submarine cruises through the Caspian Sea, they learn that survivors in Paris managed to destroy an alien mining tower.
",/m/0c3_269,how
490,490,C.H.U.D.,What happened to  the underground homeless population?,dad3e83b-8968-65da-3998-dcb5991c41ab,True,"The film opens with a woman walking her dog down an empty, darkened city street. As she passes by a manhole, she is attacked by a creature, and the dog is pulled in after her.
George Cooper (John Heard) lives with his girlfriend Lauren (Kim Greist). George, a once-prominent fashion photographer, has since forgone the fame and fortune. His current project is photographing New York City's homeless population, specifically those known as ""undergrounders"", or people who reside within the bowels of the city.
A police captain named Bosch (Christopher Curry) is introduced. Bosch has a personal interest in the recent flood of missing persons (most of whom are homeless) being reported to his precinct. Bosch interviews A.J. ""The Reverend"" Shepherd (Daniel Stern), who runs the local homeless shelter. Shepherd believes recent events to be a part of a massive government cover-up and has the evidence to prove it. Bosch's superiors know more than they are letting on and seem to be taking their cues from an overly glib, weasely type named Wilson (George Martin), who works for the Nuclear Regulatory Commission.
It turns out there are monsters lurking beneath the streets; beings that were once human, but have been mutated by radioactive, chemical toxic waste into hideous, flesh-eating creatures that prey on the homeless who live in the underground. Given the recent drop in the underground transient population, the creatures have resorted to coming to the surface through sewer manholes in order to feed. Through a series of events, both George and A.J. find themselves trapped in the sewers, a reporter gets involved (and eaten), and Lauren has a problem with both a clogged shower drain and an unexpected visitor that comes up through the sewer access point that she unfortunately decides to open in the basement of her apartment building. Then, through the dangerous investigative efforts of both A.J. and George, the absolute horror is revealed: The Nuclear Regulatory Commission is directly involved in the slaughter that has been going on.
Although the political bureaucracy has forbidden the NRC to transport the toxic wastes through New York because of the large-scale danger to the public, it has secretly been hiding the waste by-products (marked as ""Contamination Hazard Urban Disposal"") beneath Manhattan in abandoned subway tunnels. Unfortunately, the underground homeless population has been coming into contact with these by-products, turning them into the mutated creatures. It is this secret that Wilson guards to the extent of having a mysterious and threatening lackey disrupt A.J. from making phone calls to the press. This thug then locks A.J. in an underground access tunnel either to suffocate from the gas to be used to asphyxiate the C.H.U.D.s, or to leave him to become their prey. Wilson is clearly willing to kill to protect his employer's secretsâeven a cop. Later that evening at a diner, two police officers enter and while the waitress and the two are discussing, the monsters return and attack the diner inhabitants.
Captain Bosch argues with Wilson over how to deal with the threat: Wilson wants to seal the sewers, open up some gas lines, and asphyxiate the C.H.U.D.s despite the inherent danger to the city.
Wilson, after being overwhelmed by Bosch (it is implied in dialogue that Bosch's wife was the woman taken by the C.H.U.D. at the beginning of the movie) shoots him and drives the truck in reverse aiming for George and AJ, but they escape from the manhole just in time as Wilson pass them over. AJ finds Bosch's gun and shoots and kills Wilson before he runs over them, then the truck explodes as it falls on the manhole, Bosch is still alive and George, Lauren, and AJ are saved.
",/m/04rjwf,what
505,505,C.H.U.D.,What are these monsters?,588edd43-b723-661e-8d51-1da1c0f6d55f,True,"The film opens with a woman walking her dog down an empty, darkened city street. As she passes by a manhole, she is attacked by a creature, and the dog is pulled in after her.
George Cooper (John Heard) lives with his girlfriend Lauren (Kim Greist). George, a once-prominent fashion photographer, has since forgone the fame and fortune. His current project is photographing New York City's homeless population, specifically those known as ""undergrounders"", or people who reside within the bowels of the city.
A police captain named Bosch (Christopher Curry) is introduced. Bosch has a personal interest in the recent flood of missing persons (most of whom are homeless) being reported to his precinct. Bosch interviews A.J. ""The Reverend"" Shepherd (Daniel Stern), who runs the local homeless shelter. Shepherd believes recent events to be a part of a massive government cover-up and has the evidence to prove it. Bosch's superiors know more than they are letting on and seem to be taking their cues from an overly glib, weasely type named Wilson (George Martin), who works for the Nuclear Regulatory Commission.
It turns out there are monsters lurking beneath the streets; beings that were once human, but have been mutated by radioactive, chemical toxic waste into hideous, flesh-eating creatures that prey on the homeless who live in the underground. Given the recent drop in the underground transient population, the creatures have resorted to coming to the surface through sewer manholes in order to feed. Through a series of events, both George and A.J. find themselves trapped in the sewers, a reporter gets involved (and eaten), and Lauren has a problem with both a clogged shower drain and an unexpected visitor that comes up through the sewer access point that she unfortunately decides to open in the basement of her apartment building. Then, through the dangerous investigative efforts of both A.J. and George, the absolute horror is revealed: The Nuclear Regulatory Commission is directly involved in the slaughter that has been going on.
Although the political bureaucracy has forbidden the NRC to transport the toxic wastes through New York because of the large-scale danger to the public, it has secretly been hiding the waste by-products (marked as ""Contamination Hazard Urban Disposal"") beneath Manhattan in abandoned subway tunnels. Unfortunately, the underground homeless population has been coming into contact with these by-products, turning them into the mutated creatures. It is this secret that Wilson guards to the extent of having a mysterious and threatening lackey disrupt A.J. from making phone calls to the press. This thug then locks A.J. in an underground access tunnel either to suffocate from the gas to be used to asphyxiate the C.H.U.D.s, or to leave him to become their prey. Wilson is clearly willing to kill to protect his employer's secretsâeven a cop. Later that evening at a diner, two police officers enter and while the waitress and the two are discussing, the monsters return and attack the diner inhabitants.
Captain Bosch argues with Wilson over how to deal with the threat: Wilson wants to seal the sewers, open up some gas lines, and asphyxiate the C.H.U.D.s despite the inherent danger to the city.
Wilson, after being overwhelmed by Bosch (it is implied in dialogue that Bosch's wife was the woman taken by the C.H.U.D. at the beginning of the movie) shoots him and drives the truck in reverse aiming for George and AJ, but they escape from the manhole just in time as Wilson pass them over. AJ finds Bosch's gun and shoots and kills Wilson before he runs over them, then the truck explodes as it falls on the manhole, Bosch is still alive and George, Lauren, and AJ are saved.
",/m/04rjwf,what
594,594,Decoding Annie Parker,What is Annie's personal relationship with breast cancer?,b6c20bde-5173-da08-adef-e51ea7224774,True,"

Based on true events, Decoding Annie Parker is the hopeful and touching story of two remarkable women and their 15-year battle against a cruel and insidious illness, breast cancer. Waged on both scientific and emotional fronts, they are drawn together not just by the disease but by their shared determination and unconventional approaches to their research and to their lives.Annie Parker (Samantha Morton) has a personal relationship with breast cancer. Her mother and her sister died of the disease and ultimately she is diagnosed with it too. Naturally affable with an offbeat sense of humor even in the face of her own mortality, she struggles to hold her family and life together, as her body betrays her.Meanwhile, geneticist Mary-Claire King (Helen Hunt) is convinced there is a link between DNA and cancer even if no one in her profession shares her belief. Against the advice of nearly all of her colleagues, she persists in her research and her dogged pursuit for funding that will lead to the groundbreaking study that will join the two women together. Decoding Annie Parker follows the incredible, irreverent and heartwarming story of how the paths of cancer survivor Annie Parker and geneticist Mary-Claire King intersect. With grace and humor the film chronicles how these remarkable women work to make one of the most important genetic discoveries of the 20th century.

",/m/0hhqh5c,what
630,630,Arunachalam,Why are Rangachari's colleagues shocked?,d56dd3d5-ef0b-49b9-f8df-1579ed04ab2c,True,"Arunachalam (Rajinikanth) is a simple man who is the son of Ammayan (Ravichandran), one the reputed people from a respectable family in their village. He is well known for his simplicity, honesty and helping tendency. Vedhavalli (Soundarya), a city girl and also cousin of Arunachalam comes to the her cousin's (Arunachalam's sister's) wedding. She gets attracted towards Arunachalam and slowly love blossoms between them. Their wedding proposal is happily accepted by the elders in their family except the senior most person of the family, Arunchalam-Vedhavalli's grand mother, Senior Vedhavalli (Vadivukarasi). She never likes Arunachalam and always shows hatred. She says something to Vedhavalli's father Aadhikesavan (Jaishankar) which makes him to reconsider the marriage of Vedhavalli with Arunachalam. The family leaves without informing Arunachalam which shocks him.
Arunachalam finds that his younger brother is trying to ditch his lover and he comes to her rescue. His brother refuses to marry her stating that she does not match his status and money. Arunachalam owes to bequeath his inheritance to her so that she will become equal to him which angers senior Sr.Vedhavalli. She discloses the truth that he has no right over anything he possess except the rudraksha which he is wearing in his neck as he is an orphan who was found in Arunachaleshwar temple and taken from his mother during her last breath who also named him Arunachalam. She also insults him and indirectly insists him to leave their house. Arunachalam is broken and hurt by the insult of Sr.Vedhavalli and leaves the house without informing anyone.
Arunachalam comes to Chennai and befriends Kathavarayan (Janagaraj), a beeda seller who gives him a job. He meets Vedhavalli one day and goes to her home only to get insulted by Vedhavalli's father. Arunachalam meets a young girl Nandhini (Rambha) when a thief snatches her hand bag. Nandhini thanks him and in return she promises a job in her dad's company. Next day Arunachalam goes to the office to meet Nadhini's father and he misses his rudraksh there. He chases the rolling rudraksh creating trouble to everyone in the office and finally his rudraksh lands in the table of Rangachari (Visu) who was discussing about transferring of some property belonging to some Vedhachalam to trust along with his colleagues. Arunachalam enters the meeting room and Rangachari is shocked to see Arunachalam. He enquire what is his name to which Arunachalam replies. Rangachari tells him that he is actually son of his boss Vedhachalam (also Rajnikanth), the heir of his entire property. Arunachalam and Rangachari's colleagues Kalaiperumal (V. K. Ramasamy), Prathap (Nizhalgal Ravi), Kurain (Kitty) and Vishwanath (Raghuvaran) are shocked.
Rangachari explains that Arunachalam was lost when he was so young and he recognized him with the name mentioned by his father and resemblance of his father Vedhachalam. He tells that Vedhachalam instructed him to play a video tape when Arunachalam is found where Mr.Vedhachalam speaks about how he married Arunachalam's mother Meenakshi against his father's wish, how he got lost in a cruise accident and was misunderstood to be dead, how his mother committed suicide broken by her husband's demise. He got a letter of her which stated that they have a son named Arunachalam. He tells that he has two choices of bequeathing his legacy. Either by accepting a challenge of spending Rs.30 Crore in 30 days and take away 3000 Crore fulfilling the rules or take away just Rs.30 Crore. The reason of this challenge is to make him get allergic to money and the comforts of it, so that he would spend wisely 3,000 Crores for the poor and needy people.The rules for this challenge are no contributions to charities, not to own any assets at the end of the month, and, above all, no one else must know that he would bequeath 30 Crores if he completes the challenge.
Arunachalam initially refuses to take up the challenge and says the videotape is enough for him and decides to return to his village to proudly say about his father. However he overhears Vishwanath, Kurain, Prathap and Kalaiperumal talking about killing Rangachari to take away all the assets. Arunachalam understands their true intention and accepts the challenge to spend Rs.30 Crore in 30 days following the rules much to the foursome's shock. Arunachalam challenges them that he would win the challenge and expose them to the world. Nandhini is appointed as his assistant to take care of expenses.
From Day 1, Arunachalam starts to implement different tactics and spends lavishly, but the foursome group create all obstacles so that he does not win the challenge. Arunachalam invests the money in horse race which is a way to loose money easily in minutes. He deliberately bets on a weakest horse but due to foursome's plan, the weak horse wins earning him lot of money. Next he buys bumper prize lotteries which also gets him to win ample amount of money, He then produces a movie with his friend Arivazhagan hoping it will fail commercially. However his plan backfires due to the foursome who make him to earn more money from the selling rights. Finally he jumps into politics starting a party, nominating his friend Kattavarayan for upcoming election. He vigorously campaigns for him and lavishly spends all the money so fast. During a meeting, Katavaraayan's speech makes people angry on him and Arunachalam declares that he is apologizing them for nominating a wrong person and asks them not to vote for him. However the foursome group make the other nominees of election to withdraw and Katavarayan is elected as MP. Arunachalam is shocked now, as MP post and the party are both assets as per the challenge. But he makes Kathavarayan to resign the post and he dissolves his party destroying both assets.
Finally he is about to win and he spends final left overs in farewell party. Meanwhile Vedhavalli gets angry on Arunachalam for not helping her and her family during their financial crisis and she doubts that he has affair with Nandhini. She consents to wedding with her father's choice. But Arunachalam does not reveal the truth to Vedhavalli as he wants to keep up his father's words. On the last day of handover, during final minutes, Arunachalam's friend comes to him with Rs.20,000 as per plan of foursome so that he cannot spend it at last minute. Nandhini arrives in nick of moment to inform the foursome plan and Arunachalam spends the money in last 30 seconds by paying the money to her as salary thus winning the challenge. Nandhini and Arunchalam explain Rangachari about the evil doings of foursome. Rangachari gets angry and warns to complaint against them in police but they threaten to kill them. After series of struggles and fights Arunachalam hands them over to police. Rangachari hands over the 30 billion property to him but he refuses to take it and asks him to spend to poor and needy as per his father's wish.
Meanwhile media gets to know about the happenings and is telecasted across the state. Vedhavalli realizes her mistake. Ammayapan comes to Chennai to take Arunachalam back with him to village and is surprised to see the wedding arrangements with Vedhavalli waiting for him. Senior Vedhavalli also realizes her mistake and consents for their wedding. Arunachalam and Vedhavalli unite finally.
The story shares similarity with the english language film, 'Brewster's Millions'(1985).
",/m/0kvdp4,why
